"label","lags","h","window","mcs_mse_tr_main","mcs_mse_tr_bench","dm_mse_better_bench","dm_mse_worse_bench","mcs_qlike_tr_main","mcs_qlike_tr_bench","dm_qlike_better_bench","dm_qlike_worse_bench"
"Financial_lag20_h1_window1000",20,1,1000,56.6666666666667,100,0,0.366666666666667,96.6666666666667,96.6666666666667,0,0
"Financial_lag40_h1_window1000",40,1,1000,56.6666666666667,100,0,0.366666666666667,90,96.6666666666667,0,0.0666666666666667
"Financial_lag20_h5_window1000",20,5,1000,60,100,0,0.4,96.6666666666667,100,0,0.0666666666666667
"Financial_lag40_h5_window1000",40,5,1000,70,100,0,0.266666666666667,96.6666666666667,100,0,0
"Financial_lag20_h20_window1000",20,20,1000,96.6666666666667,100,0,0.1,90,90,0,0.0333333333333333
"Financial_lag40_h20_window1000",40,20,1000,76.6666666666667,96.6666666666667,0,0.166666666666667,80,100,0,0.0666666666666667
"Financial_lag20_h1_window250",20,1,250,6.66666666666667,100,0,0.9,80,100,0,0.3
"Financial_lag40_h1_window250",40,1,250,6.66666666666667,100,0,0.9,73.3333333333333,100,0,0.233333333333333
"Financial_lag20_h5_window250",20,5,250,43.3333333333333,100,0,0.666666666666667,96.6666666666667,100,0,0.166666666666667
"Financial_lag40_h5_window250",40,5,250,13.3333333333333,100,0,0.9,83.3333333333333,100,0,0.333333333333333
"Financial_lag20_h20_window250",20,20,250,90,96.6666666666667,0,0.0666666666666667,90,93.3333333333333,0,0.0666666666666667
"Financial_lag40_h20_window250",40,20,250,53.3333333333333,100,0,0.6,73.3333333333333,86.6666666666667,0,0.0666666666666667
"Financial_lag20_h1_window125",20,1,125,0,100,0,1,46.6666666666667,100,0,0.533333333333333
"Financial_lag40_h1_window125",40,1,125,0,100,0,1,43.3333333333333,100,0,0.6
"Financial_lag20_h5_window125",20,5,125,73.3333333333333,100,0,0.333333333333333,86.6666666666667,100,0,0.166666666666667
"Financial_lag40_h5_window125",40,5,125,3.33333333333333,100,0,1,56.6666666666667,100,0,0.466666666666667
"Financial_lag20_h20_window125",20,20,125,53.3333333333333,66.6666666666667,0,0.0333333333333333,63.3333333333333,70,0,0.0333333333333333
"Financial_lag40_h20_window125",40,20,125,6.66666666666667,80,0,0.766666666666667,30,73.3333333333333,0,0.3
